PTaxMaster
NTempTransfer
AcBankReceiptMaster
AcLedgers
PMachineMaster
NTempTransferDetails
AcBankReconcilNew
AcLedgersCash
PManualAtLog
NUserFingureEnroll
AcBillRecieptDetails
AcLedgerSummary
PMessagesend
NUserWiseItemPriceChangePerc
AcBillRecieptMaster
AcOutFlow
PMultipleGiftVoucher
P_EmployeeMchData
AcBills
AcPandL
PMultipleItemPromotion
PAbayaMaster
AcCashTrans
AcTransactions
PMultisharingStatus
PAbayaMeasurement
AcCheque
AcTransactionsAdv
Pnationality
PAccountsPosting
AcChequeAdv
AcTransactionsGeneral
PNvrMaster
PAlternatePrice
AcChequeBills
AcUnReconciled
POpeningStock
PAlternateUnit
AcChequeNo
BarcodeStockView
POrderListDetl
PAlternateUnitSa
AcCompAccount
CashinflowDetails
POrderListMast
Param
AcCompany
CashoutflowDetails
PpickNote
PattendenceSheet
AcCompanyAccounts
ConsItemPerofrmanceView
PPriceListGroupMast
PbankReconciliation
AcCompoundJournal
consolidatedadjustview
PPriceListMast
PBillPaymentDetails
AcCostCenter
ConsolidatedDebitNoteView
PPriceSchema
PBillPaymentMaster
AccPeriod
ConsolidatedPurchaseView
PPrivilegeCatWise
PBillReceiptDetails
AccTrans
ConsolidatedSalesView
PPrivilegeCustomer
PBillReceiptMaster
AccTransLOG
ConsolidatedStockAdjustView
PPrivilegeItemWise
PBillTable
AccTransLogMaster
CostPriceView
PPrivilegeOpening
PCancelledSalesDetails
AcEmpDetails
CreditNoteView
PPrivilegeVoucher
PCancelledSalesMaster
AcEmployee
DailySalesView
PpromotionDocument
PCashCollection
AcExpnseOpening
DetailedBSheet
PPurch_Det_SlNo
PcashCollectionDetails
AcFinYear
EcommerceItemImportView
PPurchaseDetails
PCashierMaster
AcForms
EcommerceItemView
PPurchaseImages
PCashTrans
AcFormsBackup
expiryview
PPurchaseMaster
PCategoryMaster
AcFormsNew
InAdjustview
PQtyScheme
PCategoryWiseDisc
AcFormsTemp
ItemPerformanceView
PReceivable
pccitems
AcGroups
ItemPerformanceViewNWS
PRequisition
PChequeCollection
AcGroupsNew
ItemPerformanceViewWS
PRequisitionDetails
PChequeFilePath
AcHead
ItemSearchview
PRetCancelledSalesDetails
PChequeFilePath1
AcHeadsNew
MonthlyPurchaseView
PRetCancelledSalesMaster
PChequePayable
AcItems
MonthlySalesView
PReturnChequeRecevable
PChequeRecevable
AcJournalEntryDetail
NewItemSearchView
PReturnCounterCloseDetails
PChequeReturnDetails
AcJournalEntryMaster
OutAdjustview
PReturnedSalesDetails
PChequeReturnMaster
AcList
PCombItemCount
PReturnedSalesMaster
PColor
AcLoan
pdailyCashview
PrintedCheque
PCombItem
AcMaingroup
PDebitNoteView
PRiskManagement
PCombItemDetails
AcNAccountMaster
PDiscountView
PSales_Det_SlNo
PCompanyDocuments
AcNAccountMasterDetails
PInwardtransfer
PSalesButtons
PCompanyGroup
AcNChequePay
PMISPL
PSalesCustomer
PCompanySetup
AcOpeningBalance
POutWardtransfer
PSalesDetails
PCounterCancelledSalesDetails
AcOtherExpenseDetail
PPriceSchemeunitView
PSalesMaster
PCounterCancelledSalesMaster
AcOtherExpenseMaster
PPriceShemeView
PSalesOrderStatus
PCounterMaster
AcOtherIncomeDetail
PPrivilegePointsView
PSalesScreenButtons
PCounterOp
AcOtherIncomeMaster
PPrivilegeVoucherView
PSalesType
PcounterRegister
AcPaymentDetail
PPurchaseView
PSecondcategory
PCounterSalesDetails
AcPaymentMaster
PQtySchemeView
Psettings
PCounterSalesMaster
AcPayRoll
PRePackingView
PSharingDatabse
PcounterStockEntry
AcReceiptDetail
PrivilegeVoucherView
PShiftMaster
PcounterStockEntryDetails
AcReceiptMaster
PromotionPriceView
PSize
PCreditCardReconcileDetail
AcReconcile
promotionview
PSpecialPrice
PCreditCardReconcileMaster
AcReports
PSales_Det_View
PStockAdjustDetails
PCreditNoteDetails
AcReportsBackup
psalesbillview
PStockAdjustEditDetails
PCreditNoteMaster
AcReportUser
PSalesView
PStockAdjustEditMaster
PCurrencyMaster
AcReturnVouchDetails
PStockFromVanView
PStockAdjustMaster
PCurrentday
AcRGroup
PStockToVanView
PStockTable
PCustomerAdvance
AcRights
PStockview
PStockTableOpening
PCustomerAlert
AcRightsBackup
PTransferReportView
PSupplierAdjustment
PCustomerCompany
AcSalaryDet
PtransferView
PSupplierAdjustmentDetails
PcustomerDisplay
AcSalaryPosting
PUnPackingView
PSupplierAdjustmentItems
PCustomerMaster
AcSales
PWarrentycardView
PSupplierAdvance
PCustomerPendingAmount
AcSalesDetails
SalesorderView
PDailyOp
AcSalesManPaymentDetail
UnitConversionView
PSymbol
PDailyReportEntryDetl
AcSalesManPaymentMaster
UnitCreateViewItems
PTally
PDailyReportEntryMast
AcSettings
ViewAllBranchStock
PTallyDetails
PDailyReportEntryTeleCard
AcSettingsNew
Vw_Cons_DebitNoteMaster
PTarget
PDebit_Det_SlNo
AcTempPandL
Vw_Cons_PurchaseMaster
PtargetItem
PDebitNote
AcTermClosing
Vw_Cons_SalesMaster
PDebitNoteDetails
AcTrans
Vw_Cons_VATReport
PTemp_PCustomerAlert
PDeletedStock
AcTransDetails
VW_ItemAvarageCost
PTempAttendenceHours
PDeliveryCustomer
AcUser
VW_ItemlastPurchaseCost
PTempAttendenceSheet
PDeliveryMan
AcUserGroup
VW_SuplierItemcode
PtempChequePayable
PDeliveryMedium
AcVoucherType
VwCashflowdetailreport
PtempConsolidatedPL
PDenomination
AcYearEndClosing
VWPriceChecker
PtempCounterClose
PDenominationMaster
AMissingItem
PTempDailySales
PDepartmentMaster
